code_in_XMLs	resolved_code_and_link	note	organization	location	status
NAT	[[Collection NAT|NAT]]	Automatically matched with IH	Seale-Hayne Agricultural College	Newton Abbot, England, U.K.	Permanently closed
NBG	[[Collection NBG|NBG]]	Automatically matched with IH	South African National Biodiversity Institute	Cape Town, Western Cape Province, Republic of South Africa	Active
NBM	[[Collection NBM|NBM]]	Automatically matched with IH	New Brunswick Museum	Saint John, New Brunswick, Canada	Active
NBV	[[Collection NBV|NBV]]	Automatically matched with IH	Koninklijke Nederlandse Botanische Vereniging	Leiden, Netherlands	Inactive
NCBS	[[Collection NCBS|NCBS]]	Automatically matched with IH	Connecticut Botanical Society	New Haven, Connecticut, U.S.A.	Active
NCU	[[Collection NCU|NCU]]	Automatically matched with IH	University of North Carolina at Chapel Hill	Chapel Hill, North Carolina, U.S.A.	Active
NCV	[[Collection NCU|NCU]]	Typo or alternative spelling. Should be NCU			
NANCY	[[Collection NCY|NANCY]]	Only one collection in Nancy			
NCY	[[Collection NCY|NCY]]	Automatically matched with IH	Conservatoire et Jardins Botaniques de Nancy, Université de Nancy I	Nancy, France	Active
NGY	[[Collection NCY|NCY]]	OCR error			
ND	[[Collection ND|ND]]	Automatically matched with IH	University of Notre Dame	Notre Dame, Indiana, U.S.A.	Active
NDA	[[Collection NDA|NDA]]	Automatically matched with IH	North Dakota State University	Fargo, North Dakota, U.S.A.	Active
NDB	[[Collection NDB|NDB]]	NBV? Suggestion added in text			
NDG	[[Collection NDG|NDG]]	Automatically matched with IH	University of Notre Dame	Notre Dame, Indiana, U.S.A.	Active
NEB	[[Collection NEB|NEB]]	Automatically matched with IH	University of Nebraska State Museum, Lincoln NE	Lincoln, Nebraska, U.S.A.	Active
NEAC	[[Collection NEBC|NEBC]]	Typo or alternative spelling. Should be NEBC			
NEBC	[[Collection NEBC|NEBC]]	Automatically matched with IH	New England Botanical Club	Cambridge, Massachusetts, U.S.A.	Active
NESH	[[Collection NESH|NESH]]	Automatically matched with IH	University of Nevada	Reno, Nevada, U.S.A.	Inactive
NEU	[[Collection NEU|NEU]]	Automatically matched with IH	Université de Neuchâtel	Neuchâtel, Neuchâtel, Switzerland	Active
NF	[[Collection NF|NF]]	Automatically matched with IH	Nanjing Forestry University	Nanjing, Jiangsu, People's Republic of China	Active
NFLD	[[Collection NFLD|NFLD]]	Automatically matched with IH	Memorial University of Newfoundland	St. John's, Newfoundland, Canada	Active
NH	[[Collection NH|NH]]	Automatically matched with IH	South African National Biodiversity Institute	Durban, KwaZulu-Natal Province, Republic of South Africa	Active
NHA	[[Collection NHA|NHA]]	Automatically matched with IH	University of New Hampshire	Durham, New Hampshire, U.S.A.	Active
NHES	[[Collection NHES|NHES]]	Automatically matched with IH	Connecticut Agricultural Experiment Station	New Haven, Connecticut, U.S.A.	Active
NI	[[Collection NI|NI]]	Automatically matched with IH	Slovak University of Agriculture	Nitra, Slovakia	Active
NICE	[[Collection NICE|NICE]]	Automatically matched with IH	Muséum d'Histoire Naturelle	Nice, France	Active
NICH	[[Collection NICH|NICH]]	Automatically matched with IH	Hattori Botanical Laboratory	Nichinan City, Miyazaki Prefecture, Japan	Active
NJ	[[Collection NJ|NJ]]	Automatically matched with IH	Njala University College	Njala, Sierra Leone	Inactive
NM	[[Collection NM|NM]]	Automatically matched with IH	Northern Michigan University	Marquette, Michigan, U.S.A.	Active
NMC	[[Collection NMC|NMC]]	Automatically matched with IH	New Mexico State University	Las Cruces, New Mexico, U.S.A.	Active
