code_in_XMLs	resolved_code_and_link	note	organization	location	status
RYD	[[Collection RYD|RYD]]	Automatically matched with IH	School of Art	Ryde, England, U.K.	Inactive
S	[[Collection S|S]]	Automatically matched with IH	Swedish Museum of Natural History	Stockholm, Sweden	Active
SACT	[[Collection SACT|SACT]]	Automatically matched with IH	California State University, Sacramento	Sacramento, California, U.S.A.	Active
SALT	[[Collection SALT|SALT]]	Not an OCR error. Not in IH-Collectors. SLC? SACT? Unlikely in NA. SANT? Suggestion added in text			
SAM	[[Collection SAM|SAM]]	Automatically matched with IH	South African Museum Herbarium	Cape Town, Western Cape Province, Republic of South Africa	Inactive
SAMU	[[Collection SAMU|SAMU]]	Automatically matched with IH	Savaria County Municipal Museum	Szombathely, Vas County, Hungary	Active
SAN	[[Collection SAN|SAN]]	Automatically matched with IH	Forest Research Centre	Sandakan, Sabah, Malaysia	Active
SANT	[[Collection SANT|SANT]]	Automatically matched with IH	Universidad de Santiago de Compostela	Santiago de Compostela, Galicia, Spain	Active
SAP	[[Collection SAP|SAP]]	Automatically matched with IH	Hokkaido University	Sapporo, Hokkaido, Japan	Active
SAPS	[[Collection SAPS|SAPS]]	Automatically matched with IH	Hokkaido University Museum	Sapporo, Hokkaido, Japan	Active
SASSA	[[Collection SASSA|SASSA]]	Automatically matched with IH	Università di Sassari	Sassari, Italy	Active
SAV	[[Collection SAV|SAV]]	Automatically matched with IH	Slovak Academy of Sciences	Bratislava, Slovakia	Active
SBBG	[[Collection SBBG|SBBG]]	Automatically matched with IH	Santa Barbara Botanic Garden	Santa Barbara, California, U.S.A.	Active
SBC	[[Collection SBC|SBC]]	Automatically matched with IH	University of California	Santa Barbara, California, U.S.A.	Inactive
SBM	[[Collection SBM|SBM]]	Automatically matched with IH	Santa Barbara Museum of Natural History	Santa Barbara, California, U.S.A.	Inactive
SBT	[[Collection SBT|SBT]]	Automatically matched with IH	The Bergius Foundation at the Royal Swedish Academy of Sciences	Stockholm, Sweden	Temporarily closed
SCBI	[[Collection SCBI|SCBI]]	Not an OCR error. Not in IH-Collectors. 			
SCH	[[Collection SCH|SCH]]	Automatically matched with IH	Museum zu Allerheiligen	Schaffhausen, Switzerland	Active
SCHN	[[Collection SCHN|SCHN]]	Automatically matched with IH	Smith College	Northampton, Massachusetts, U.S.A.	Active
SCP	[[Collection SCP|SCP]]	Automatically matched with IH	Sociedad Científica del Paraguay	Asunción, Paraguay	Active
SD	[[Collection SD|SD]]	Automatically matched with IH	San Diego Natural History Museum	San Diego, California, U.S.A.	Active
SDC	[[Collection SDC|SDC]]	Automatically matched with IH	South Dakota State University	Brookings, South Dakota, U.S.A.	Active
SDU	[[Collection SDU|SDU]]	Automatically matched with IH	University of South Dakota	, U.S.A.	Permanently closed
SEL	[[Collection SEL|SEL]]	Automatically matched with IH	Marie Selby Botanical Gardens	Sarasota, FL, U.S.A.	Active
SEV	[[Collection SEV|SEV]]	Automatically matched with IH	Universidad de Sevilla	Sevilla, Spain	Active
SFD	[[Collection SFD|SFD]]	Automatically matched with IH	Museums Sheffield, Weston Park Museum	Sheffield, England, U.K.	Active
SFPA	[[Collection SFPA|SFPA]]	Automatically matched with IH	Fundação Estadual de Pesquisa Agropecuária	Porto Alegre, Rio Grande do Sul, Brazil	Inactive
SGE	[[Collection SGE|SGE]]	Automatically matched with IH	Stamford Park Museum	Stalybridge, England, U.K.	Permanently closed
SGO	[[Collection SGO|SGO]]	Automatically matched with IH	Museo Nacional de Historia Natural	Santiago, Chile	Active
SHMH	[[Collection SHMH|SHMH]]	Automatically matched with IH	Université l'Aurore	Shanghai, Shanghai, People's Republic of China	Inactive
SI	[[Collection SI|SI]]	Automatically matched with IH	Instituto de Botánica Darwinion	San Isidro, Buenos Aires, Argentina	Active
SIAC	[[Collection SIAC|SIAC]]	Automatically matched with IH	Accademia dei Fisiocritici Onlus	Siena, Italy	Active
SIB	[[Collection SIB|SIB]]	Automatically matched with IH	Natural History Museum	Sibiu, Romania	Active
SIENA	[[Collection SIENA|SIENA]]	Automatically matched with IH	Università di Siena	Siena, Italy	Active
SIGMA	[[Collection SIGMA|SIGMA]]	Automatically matched with IH	Station Internationale de Géobotanique Méditerranéenne et Alpine	Montpellier, France	Inactive
SING	[[Collection SING|SING]]	Automatically matched with IH	National Parks board	Singapore, Singapore, Singapore	Active
SIU	[[Collection SIU|SIU]]	Automatically matched with IH	Southern Illinois University	Carbondale, Illinois, U.S.A.	Active
SK	[[Collection SK|SK]]	Automatically matched with IH	Katedralskolan	Skara, Sweden	Inactive
SKN	[[Collection SKN|SKN]]	Automatically matched with IH	Craven Museum Service	Skipton, England, U.K.	Active
SL	[[Collection SL|SL]]	Automatically matched with IH	Njala University	Freetown, Sierra Leone	Active
SLBI	[[Collection SLBI|SLBI]]	Automatically matched with IH	South London Botanical Institute	London, England, U.K.	Active
SLO	[[Collection SLO|SLO]]	Automatically matched with IH	Comenius University	Bratislava, Slovakia	Temporarily closed
SLPM	[[Collection SLPM|SLPM]]	Automatically matched with IH	Universidad Autónoma de San Luis Potosí	San Luis Potosí, San Luis Potosí, Mexico	Active
SMS	[[Collection SMS|SMS]]	Automatically matched with IH	Missouri State University	Springfield, Missouri, U.S.A.	Active
SMU	[[Collection SMU|SMU]]	Automatically matched with IH	Southern Methodist University	Dallas, Texas, U.S.A.	Inactive
SO	[[Collection SO|SO]]	Automatically matched with IH	Sofia University	Sofia, Bulgaria	Active
SOA	[[Collection SOA|SOA]]	Automatically matched with IH	Agricultural University of Plovdiv	Plovdiv, Bulgaria	Active
SOC	[[Collection SOC|SOC]]	Automatically matched with IH	Southern Oregon University	Ashland, Oregon, U.S.A.	Active
SOM	[[Collection SOM|SOM]]	Automatically matched with IH	Bulgarian Academy of Sciences	Sofia, Bulgaria	Active
SP	[[Collection SP|SP]]	Automatically matched with IH	Instituto de Pesquisas Ambientais	São Paulo, São Paulo, Brazil	Active
SPA	[[Collection SPA|SPA]]	Automatically matched with IH	Swedish Museum of Natural History	Stockholm, Sweden	Inactive
SPAL	[[Collection SPAL|SPAL]]	Automatically matched with IH	Municipio di Reggio Emilia, Musei Civici	Reggio Emilia, Italy	Active
SPH	[[Collection SPH|SPH]]	Automatically matched with IH	Fox Research Forest, New Hampshire Department of Resources and Economic Development	Hillsboro, New Hampshire, U.S.A.	Active
SPL	[[Collection SPL|SPL]]	Automatically matched with IH	Palynological Laboratory	Stockholm, Sweden	Inactive
SPR	[[Collection SPR|SPR]]	Automatically matched with IH	Springfield Science Museum	Springfield, Massachusetts, U.S.A.	Active
SPAWH	[[Collection SPWH|SPWH]]	Typo or alternative spelling. Should be SPWH			
SPWH	[[Collection SPWH|SPWH]]	Automatically matched with IH	Woods Hole Oceanographic Institution	Woods Hole, Massachusetts, U.S.A.	Active
SRD	[[Collection SRD|SRD]]	Automatically matched with IH	Passmore Edwards Museum	London, England, U.K.	Status unknown
SRGH	[[Collection SRGH|SRGH]]	Automatically matched with IH	Botanic Garden	Harare, Zimbabwe	Active
SRGM	[[Collection SRGH|SRGH]]	Typo or alternative spelling. Should be SRGH			
SRSC	[[Collection SRSC|SRSC]]	Automatically matched with IH	Sul Ross State University	Alpine, Texas, U.S.A.	Active
SS	[[Collection SS|SS]]	Automatically matched with IH	Università di Sassari	Sassari, Italy	Active
ST	[[Collection ST|ST]]	Automatically matched with IH	Suzhou Teachers College	Suzhou, Anhui, People's Republic of China	Active
STA	[[Collection STA|STA]]	Automatically matched with IH	St Andrews Botanic Garden	St. Andrews, Scotland, U.K.	Active
STAL	[[Collection STAL|STAL]]	Automatically matched with IH	Verulamium Museum	Saint Albans, England, U.K.	Inactive
STAR	[[Collection STAR|STAR]]	Automatically matched with IH	Arkansas State University	Jonesboro, Arkansas, U.S.A.	Active
STE	[[Collection STE|STE]]	Automatically matched with IH	National Botanical Institute	Stellenbosch, Western Cape Province, Republic of South Africa	Inactive
STEU	[[Collection STEU|STEU]]	Automatically matched with IH	University of Stellenbosch	Stellenbosch, Western Cape Province, Republic of South Africa	Active
STI	[[Collection STI|STI]]	Automatically matched with IH	Stirling Smith Art Gallery and Museum	Stirling, Scotland, U.K.	Active
STO	[[Collection STO|STO]]	Automatically matched with IH	The Potteries Museum & Art Gallery	Stoke-on-Trent, England, U.K.	Active
STP	[[Collection STP|STP]]	Automatically matched with IH	La Société Guernesiaise, Priaulx Library	Saint Peter Port, Guernsey	Inactive
STR	[[Collection STR|STR]]	Automatically matched with IH	University of Strasbourg	Strasbourg, France	Active
STS	[[Collection STS|STS]]	Automatically matched with IH	Stromness Museum	Stromness, Orkney, Scotland, U.K.	Active
STU	[[Collection STU|STU]]	Automatically matched with IH	Staatliches Museum für Naturkunde Stuttgart	Stuttgart, Germany	Active
SUM	[[Collection SUM|SUM]]	Automatically matched with IH	Okresní vlastivedné muzeum v Sumperku	Sumperk, Czech Republic	Active
SUNIV	[[Collection SUNIV|SUNIV]]	Automatically matched with IH	University of Stockholm	Stockholm, Sweden	Inactive
SUVA	[[Collection SUVA|SUVA]]	Automatically matched with IH	University of the South Pacific	Suva, Fiji	Active
SV	[[Collection SV|SV]]	Automatically matched with IH	Antigua Estación Experimental Agronómica	Habana (Havana), Cuba	Inactive
SWA	[[Collection SWA|SWA]]	Automatically matched with IH	Swansea Museum	Swansea, Wales, U.K.	Active
SWN	[[Collection SWN|SWN]]	Automatically matched with IH	Saffron Walden Museum	Saffron Walden, England, U.K.	Active
SYD	[[Collection SYD|SYD]]	Automatically matched with IH	University of Sydney	Sydney, New South Wales, Australia	Active
SYR	[[Collection SYR|SYR]]	Automatically matched with IH	Syracuse University	Syracuse, New York, U.S.A.	Inactive
SYRE	[[Collection SYR|SYR]]	Alternative to SYR			
SYS	[[Collection SYS|SYS]]	Automatically matched with IH	Zhongshan (Sun Yatsen) University	Guangzhou, Guangdong, People's Republic of China	Active
SZ	[[Collection SZ|SZ]]	Automatically matched with IH	Sichuan University, Jianghong Ran	Chengdu, Sichuan, People's Republic of China	Active
SZB	[[Collection SZB|SZB]]	Automatically matched with IH	Haus der Natur	Salzburg, Salzburg, Austria	Active
SZE	[[Collection SZE|SZE]]	Automatically matched with IH	Móra Ferenc Museum	Szeged, Hungary	Active
SZU	[[Collection SZU|SZU]]	Automatically matched with IH	University of Salzburg	Salzburg, Austria	Active
T	[[Collection T|T]]	Automatically matched with IH	Kharazmi University	Tehran, Iran	Active
TAC	[[Collection TAC|TAC]]	Automatically matched with IH	Tarleton State University	Stephenville, Texas, U.S.A.	Active
TAD	[[Collection TAD|TAD]]	Automatically matched with IH	Botanical Institute of the Tajikistan Academy of Sciences	Dushanbe, Tajikistan	Inactive
TAES	[[Collection TAES|TAES]]	Automatically matched with IH	Texas A&M University	College Station, Texas, U.S.A.	Active
TAEX	[[Collection TAES|TAES]]	Typo or alternative spelling. Should be TAES			
TAI	[[Collection TAI|TAI]]	Automatically matched with IH	National Taiwan University	Taipei, Taiwan, Taiwan	Active
TAIM	[[Collection TAIM|TAIM]]	Automatically matched with IH	Taiwan Museum	Taipei, Taiwan, Taiwan	Active
TAK	[[Collection TAK|TAK]]	Automatically matched with IH	Lenin State University	Tashkent, Uzbekistan	Inactive
TAL	[[Collection TAL|TAL]]	Automatically matched with IH	Jardin botanique de Talence	Talence, France	Inactive
TALE	[[Collection TALE|TALE]]	Automatically matched with IH	Laboratoire Géologique	Talence, France	Inactive
TAM	[[Collection TAM|TAM]]	Automatically matched with IH	Estonian Museum of Natural History	Tallinn, Estonia	Active
TAN	[[Collection TAN|TAN]]	Automatically matched with IH	Parc Botanique et Zoologique de Tsimbazaza (PBZT)	Antananarivo, Madagascar	Active
TASH	[[Collection TASH|TASH]]	Automatically matched with IH	Academy of Science, Uzbekistan	Tashkent, Tashkent, Uzbekistan	Active
TB	[[Collection TB|TB]]	Automatically matched with IH	Tbilisi State University	Tbilisi, Georgia	Active
TBGT	[[Collection TBGT|TBGT]]	Automatically matched with IH	Tropical Botanic Garden and Research Institute	Trivandrum, Kerala, India	Active
TBI	[[Collection TBI|TBI]]	Automatically matched with IH	Institute of Botany, Ilia State University	Tbilisi, Georgia	Active
TC	[[Collection TC|TC]]	Automatically matched with IH	National Botanical Garden of Türkiye	ANKARA, Çankaya, Turkey	Active
TCD	[[Collection TCD|TCD]]	Automatically matched with IH	Trinity College	Dublin, Ireland	Active
TCI	[[Collection TCD|TCD]]	Typo or alternative spelling. Should be TCD			
TDN	[[Collection TDN|TDN]]	Automatically matched with IH	Todmorden Botanical Society	Todmorden, England, U.K.	Inactive
TECLA	[[Collection TECLA|TECLA]]	Automatically matched with IH	Centro Nacional de Tecnologia Agropecuaria	Ciudad Arce, La Libertad, El Salvador	Active
TELA	[[Collection TELA|TELA]]	Automatically matched with IH	Tel Aviv University	Tel Aviv, Israel	Active
TENN	[[Collection TENN|TENN]]	Automatically matched with IH	University of Tennessee	Knoxville, Tennessee, U.S.A.	Active
TEX	[[Collection TEX|TEX]]	Automatically matched with IH	University of Texas at Austin	Austin, Texas, U.S.A.	Active
TEXA	[[Collection TEXA|TEXA]]	Automatically matched with IH	Blackland Experiment Station	Temple, Texas, U.S.A.	Inactive
THA	[[Collection THA|THA]]	Not an OCR error. Not in IH-Collectors 			
THO	[[Collection THO|THO]]	Automatically matched with IH	Robert Dick Herbarium	Thurso, Scotland, U.K.	Active
TI	[[Collection TI|TI]]	Automatically matched with IH	University of Tokyo	Tokyo, Tokyo, Japan	Active
TIE	[[Collection TIE|TIE]]	Automatically matched with IH	Tianjin Natural History Museum	Tianjin, Tianjin, People's Republic of China	Active
TK	[[Collection TK|TK]]	Automatically matched with IH	Tomsk State University	Tomsk, Tomsk, Russia	Active
TL	[[Collection TL|TL]]	Automatically matched with IH	Université Paul Sabatier	Toulouse, Occitanie, France	Active
TLA	[[Collection TLA|TLA]]	Automatically matched with IH	École Nationale Supérieure Agronomique	Toulouse, France	Active
TLF	[[Collection TLF|TLF]]	Automatically matched with IH	Université Paul Sabatier	Toulouse, France	Inactive
TLJ	[[Collection TLJ|TLJ]]	Automatically matched with IH	Université Paul Sabatier	Toulouse, France	Inactive
TLM	[[Collection TLM|TLM]]	Automatically matched with IH	Muséum d'Histoire Naturelle de Toulouse	Toulouse, France	Active
TLON	[[Collection TLON|TLON]]	Automatically matched with IH	Muséum départemental du Var	Toulon, France	Active
TLS	[[Collection TLS|TLS]]	Automatically matched with IH	Tunbridge Wells Museum and Art Gallery	Tunbridge Wells, England, U.K.	Active
TMP	[[Collection TMP|TMP]]	Automatically matched with IH	Tampere Museums	Tampere, Finland	Active
TNP	[[Collection TNP|TNP]]	Automatically matched with IH	Museum of Tatra National Park	Tatranská Lomnica, Slovakia	Active
TNS	[[Collection TNS|TNS]]	Automatically matched with IH	National Museum of Nature and Science	Tsukuba, Japan	Active
TO	[[Collection TO|TO]]	Automatically matched with IH	University of Turin	Torino, Italy	Active
TOD	[[Collection TOD|TOD]]	Automatically matched with IH	Todmorden Free Library	Todmorden, England, U.K.	Inactive
TOM	[[Collection TOM|TOM]]	Automatically matched with IH	Istituto Missioni Consolata	Torino, Italy	Active
TOR	[[Collection TOR|TOR]]	Automatically matched with IH	Torquay Museum	Torquay, England, U.K.	Active
TR	[[Collection TR|TR]]	Automatically matched with IH	MUSE - Museo delle Scienze	Trento, Italy, Italy	Active
TRA	[[Collection TRA|TRA]]	Automatically matched with IH	American Plant Life Society	La Jolla, California, U.S.A.	Inactive
TRH	[[Collection TRH|TRH]]	Automatically matched with IH	Norwegian University of Science and Technology	Trondheim, Norway	Active
TRIN	[[Collection TRIN|TRIN]]	Automatically matched with IH	University of West Indies, St. Augustine Campus, Trinidad and Tobago	St. Augustine, Trinidad	Active
TRM	[[Collection TRM|TRM]]	Automatically matched with IH	Vlastivedné muzeum Trutnov	Trutnov, Czech Republic	Inactive
TROM	[[Collection TROM|TROM]]	Automatically matched with IH	UiT The Arctic University of Norway​	Tromsø, Troms, Norway	Active
TRT	[[Collection TRT|TRT]]	Automatically matched with IH	Royal Ontario Museum	Toronto, Ontario, Canada	Active
TRIC	[[Collection TRTC|TRTC]]	Typo or alternative spelling. Should be TRTC			
TRTC	[[Collection TRTC|TRTC]]	Automatically matched with IH	Royal Ontario Museum	Toronto, Ontario, Canada	Active
TRU	[[Collection TRU|TRU]]	Automatically matched with IH	Royal Cornwall Museum	Truro, England, U.K.	Active
TSM	[[Collection TSM|TSM]]	Automatically matched with IH	Museo Civico di Storia Naturale	Trieste, Italy	Active
TTC	[[Collection TTC|TTC]]	Automatically matched with IH	Texas Tech University	Lubbock, Texas, U.S.A.	Active
TTN	[[Collection TTN|TTN]]	Automatically matched with IH	South West Heritage Trust	Taunton, England, U.K.	Active
TU	[[Collection TU|TU]]	Automatically matched with IH	University of Tartu	Tartu, Estonia	Active
TUB	[[Collection TUB|TUB]]	Automatically matched with IH	Universität Tübingen	Tübingen, Germany	Active
TUC	[[Collection TUC|TUC]]	Automatically matched with IH	University of Arizona	Tucson, Arizona, U.S.A.	Active
TUN	[[Collection TUN|TUN]]	Automatically matched with IH	Université de Tunis	Tunis, Tunisia	Inactive
TUR	[[Collection TUR|TUR]]	Automatically matched with IH	University of Turku	Turku, Finland	Active
TURA	[[Collection TURA|TURA]]	Automatically matched with IH	Åbo Akademi University	Turku, Finland	Inactive
U	[[Collection U|U]]	Automatically matched with IH	Naturalis Biodiversity Center	Leiden, The Netherlands	Permanently closed
UAC	[[Collection UAC|UAC]]	Automatically matched with IH	University of Calgary	Calgary, Alberta, Canada	Active
UARK	[[Collection UARK|UARK]]	Automatically matched with IH	University of Arkansas	Fayetteville, Arkansas, U.S.A.	Active
UBC	[[Collection UBC|UBC]]	Automatically matched with IH	University of British Columbia	Vancouver, British Columbia, Canada	Active
UC	[[Collection UC|UC]]	Automatically matched with IH	University of California	Berkeley, California, U.S.A.	Active
WC	[[Collection UC|UC]]	Typo or alternative spelling. Should be UC			
UCA	[[Collection UCA|UCA]]	Not an OCR error. Not in IH-Collectors 			
UCNW	[[Collection UCNW|UCNW]]	Automatically matched with IH	University of Wales	Bangor, Wales, U.K.	Active
UCR	[[Collection UCR|UCR]]	Automatically matched with IH	University of California	Riverside, California, U.S.A.	Active
UCSW	[[Collection UCSW|UCSW]]	Automatically matched with IH	University College	Cardiff, Wales, U.K.	Inactive
UCWI	[[Collection UCWI|UCWI]]	Automatically matched with IH	University of the West Indies, Mona	Kingston, Jamaica	Active
UFS	[[Collection UFS|UFS]]	Automatically matched with IH	Nyabyeya Forestry College	Masindi, Uganda	Active
ULT	[[Collection ULT|ULT]]	Automatically matched with IH	Al-Faateh University	Tripoli, Libya	Active
UMO	[[Collection UMO|UMO]]	Automatically matched with IH	University of Missouri	, U.S.A.	Inactive
UN	[[Collection UN|UN]]	Made a page manually with IH6 information			
UNL	[[Collection UNL|UNL]]	Automatically matched with IH	Universidad Autónoma de Nuevo León	Monterrey, Nuevo León, Mexico	Active
UOS	[[Collection UOS|UOS]]	Automatically matched with IH	University of the South	Sewanee, Tennessee, U.S.A.	Active
UPP	[[Collection UPP|UPP]]	Automatically matched with IH	Uppingham School Museum	Uppingham, England, U.K.	Inactive
PS	[[Collection UPS|UPS]]	Typo or alternative spelling. Should be UPS			
UP	[[Collection UPS|UPS]]	Part of split UPS			
UPS	[[Collection UPS|UPS]]	Automatically matched with IH	Museum of Evolution	Uppsala, Sweden	Active
UPSV	[[Collection UPSV|UPSV]]	Automatically matched with IH	Uppsala University	, Sweden	Inactive
URB	[[Collection URB|URB]]	Not an OCR error. Same in IH-Collectors			
URM	[[Collection URM|URM]]	Automatically matched with IH	Universidade Federal de Pernambuco	Recife, Pernambuco, Brazil	Active
URTPP	[[Collection URTPP|URTPP]]	Not an OCR error. Same in IH-Collectors. Shouldn’t start from U			
URV	[[Collection URV|URV]]	Automatically matched with IH	University of Richmond	Richmond, Virginia, U.S.A.	Active
US	[[Collection US|US]]	Automatically matched with IH	Smithsonian Institution	Washington, District of Columbia, U.S.A.	Active
USA	[[Collection US|US]]	Typo or alternative spelling. Should be US			
USC	[[Collection USC|USC]]	Automatically matched with IH	University of Southern California	Los Angeles, California, U.S.A.	Inactive
USDA	[[Collection USDA|USDA]]	Made a page manually			
USFS	[[Collection USFS|USFS]]	Automatically matched with IH	Rocky Mountain Forest and Range Experiment Station	Fort Collins, Colorado, U.S.A.	Inactive
USGS	[[Collection USGS|USGS]]	Made a page manually			
USM	[[Collection USM|USM]]	Automatically matched with IH	Universidad Nacional Mayor de San Marcos	Lima, Lima, Peru	Active
USNC	[[Collection USNC|USNC]]	Automatically matched with IH	Smithsonian Institution	Washington, District of Columbia, U.S.A.	Permanently closed
USNM	[[Collection USNM|USNM]]	Made a page manually, linked to US			
USPIY	[[Collection USPIY|USPIY]]	Automatically matched with IH	K. D. Ushinsky Yaroslavl Pedagogical University	Yaroslavl, Russia	Active
UT	[[Collection UT|UT]]	Automatically matched with IH	University of Utah	Salt Lake City, Utah, U.S.A.	Active
UTC	[[Collection UTC|UTC]]	Automatically matched with IH	Utah State University	Logan, Utah, U.S.A.	Active
UTD	[[Collection UTD|UTD]]	Automatically matched with IH	University of Texas	, U.S.A.	Permanently closed
UVST	[[Collection UVST|UVST]]	Automatically matched with IH	Southwest Texas Junior College	Uvalde, Texas, U.S.A.	Active
UW	[[Collection UW|UW]]	Not an OCR error. Not in IH-Collectors. W? Made in-text suggestion			
V	[[Collection V|V]]	Automatically matched with IH	Royal British Columbia Museum	Victoria, BC Canada, Choose State, Canada	Active
VA	[[Collection VA|VA]]	Automatically matched with IH	University of Virginia	Charlottesville, Virginia, U.S.A.	Inactive
VALLE	[[Collection VALLE|VALLE]]	Automatically matched with IH	Universidad Nacional de Colombia	Palmira, Valle del Cauca, Colombia	Active
VBB	[[Collection VBB|VBB]]	Not an OCR error. Not in IH-Collectors. VDB? Suggestion added in text			
VC	[[Collection VC|VC]]	Not an OCR error. Same in IH-Collectors			
VDB	[[Collection VDB|VDB]]	Automatically matched with IH	Vanderbilt University	Nashville, Tennessee, U.S.A.	Inactive
VEN	[[Collection VEN|VEN]]	Automatically matched with IH	Universidad Central de Venezuela	Caracas, Venezuela	Active
VER	[[Collection VER|VER]]	Automatically matched with IH	Museo Civico di Storia Naturale di Verona	Verona, Italy	Active
VI	[[Collection VI|VI]]	Automatically matched with IH	Gotlands Museum / The Gotland Museum	Visby, Sweden	Active
VIC	[[Collection VIC|VIC]]	Automatically matched with IH	Universidade Federal de Viçosa	Viçosa, Minas Gerais, Brazil	Active
VIL	[[Collection VIL|VIL]]	Automatically matched with IH	Université de Paris-Sud	Orsay, France	Permanently closed
VIST	[[Collection VIST|VIST]]	Automatically matched with IH	University of the Virgin Islands	St. Thomas, Virgin Islands, U.S.A.	Active
VLA	[[Collection VLA|VLA]]	Automatically matched with IH	Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch, Russian Academy of Sciences	Vladivostok, Russia	Active
VM	[[Collection VM|VM]]	Automatically matched with IH	Muzeum regionu Valašsko, p. o. (Museum of the Moravian Wallachia region, state funded organisation)	Valašské Mezirící, Czech Republic	Active
VPI	[[Collection VPI|VPI]]	Automatically matched with IH	Virginia Polytechnic Institute and State University	Blacksburg, Virginia, U.S.A.	Active
VPRI	[[Collection VPRI|VPRI]]	Automatically matched with IH	Victorian State Government, Australia	Bundoora, Victoria, Australia	Active
VT	[[Collection VT|VT]]	Automatically matched with IH	University of Vermont	Burlington, Vermont, U.S.A.	Active
W	[[Collection W|W]]	Automatically matched with IH	Naturhistorisches Museum Wien	Wien, Austria	Active
WA	[[Collection WA|WA]]	Automatically matched with IH	University of Warsaw	Warszawa, Poland	Active
WAB	[[Collection WAB|WAB]]	Automatically matched with IH	Wabash College	Crawfordsville, Indiana, U.S.A.	Inactive
WAG	[[Collection WAG|WAG]]	Automatically matched with IH	Naturalis Biodiversity Center	Leiden, The Netherlands	Permanently closed
WAS	[[Collection WAG|WAG]]	Typo or alternative spelling. Should be WAG			
WAR	[[Collection WAR|WAR]]	Automatically matched with IH	Warwickshire Museum	Warwick, England, U.K.	Inactive
WARMS	[[Collection WARMS|WARMS]]	Automatically matched with IH	Warwickshire Museum	Warwick, England, U.K.	Active
WAVI	[[Collection WAVI|WAVI]]	Automatically matched with IH	Colby College	Waterville, Maine, U.S.A.	Active
WB	[[Collection WB|WB]]	Automatically matched with IH	Universität Würzburg	Würzburg, Germany	Active
WBM	[[Collection WBM|WBM]]	Automatically matched with IH	Universität Würzburg	Würzburg, Germany	Inactive
WCUH	[[Collection WCUH|WCUH]]	Automatically matched with IH	Western Carolina University	Cullowhee, North Carolina, U.S.A.	Active
WCW	[[Collection WCW|WCW]]	Automatically matched with IH	Whitman College	Walla Walla, Washington, U.S.A.	Active
WEBB	[[Collection WEBB|WEBB]]	Not an OCR error. Not in IH-Collectors. FI-W?			
WECO	[[Collection WECO|WECO]]	Automatically matched with IH	Wesleyan University	Middletown, Connecticut, U.S.A.	Inactive
WEIC	[[Collection WELC|WELC]]	Typo or alternative spelling. Should be WELC			
WELC	[[Collection WELC|WELC]]	Automatically matched with IH	Wellesley College	Wellesley, Massachusetts, U.S.A.	Inactive
WELT	[[Collection WELT|WELT]]	Automatically matched with IH	Museum of New Zealand Te Papa Tongarewa	Te Aro, Wellington, Wellington, New Zealand	Active
WELTU	[[Collection WELTU|WELTU]]	Automatically matched with IH	Victoria University of Wellington	Wellington, New Zealand	Inactive
WET	[[Collection WET|WET]]	Automatically matched with IH	Wartburg College	Waverly, Iowa, U.S.A.	Active
WHY	[[Collection WHY|WHY]]	Automatically matched with IH	Whitby Museum	Whitby, England, U.K.	Active
WIES	[[Collection WIES|WIES]]	Automatically matched with IH	Museum Wiesbaden	Wiesbaden, Germany	Active
WIL	[[Collection WIL|WIL]]	Can be resolved. “see G.A. Fryxell, Beih. Nova Hedwigia 53, 1975”			
WILLU	[[Collection WILLU|WILLU]]	Automatically matched with IH	Willamette University	Salem, Oregon, U.S.A.	Inactive
WIM	[[Collection WIM|WIM]]	Not an OCR error. Hamel. WIN? Suggestion added in text			
WIN	[[Collection WIN|WIN]]	Automatically matched with IH	University of Manitoba	Winnipeg, Manitoba, Canada	Active
WIND	[[Collection WIND|WIND]]	Automatically matched with IH	National Botanical Research Institute	Windhoek, Namibia	Active
WIR	[[Collection WIR|WIR]]	Automatically matched with IH	N.I.Vavilov Institute of Plant Genetic Resources (VIR)	Saint Petersburg, Russia	Active
WIS	[[Collection WIS|WIS]]	Automatically matched with IH	University of Wisconsin	Madison, Wisconsin, U.S.A.	Active
WISC	[[Collection WIS|WISC]]	Alternative to WIS			
WLU	[[Collection WLU|WLU]]	Automatically matched with IH	Wilfrid Laurier University	Waterloo, Ontario, Canada	Active
WOS	[[Collection WOS|WOS]]	Automatically matched with IH	City Museum and Art Gallery	Worcester, England, U.K.	Active
WPS	[[Collection WPS|WPS]]	Not an OCR error. Not in IH-Collectors. WSP? Suggestion added in text			
WRHM	[[Collection WRHM|WRHM]]	Automatically matched with IH	Institute of Terrestrial Ecology	Wareham, England, U.K.	Inactive
WRLS	[[Collection WRLS|WRLS]]	Not an OCR error. Not in IH-Collectors			
WRN	[[Collection WRN|WRN]]	Automatically matched with IH	Warrington Museum and Art Gallery	Warrington, England, U.K.	Active
WRSL	[[Collection WRSL|WRSL]]	Automatically matched with IH	Wroclaw University	Wroclaw, Poland	Active
WS	[[Collection WS|WS]]	Automatically matched with IH	Washington State University	Pullman, Washington, U.S.A.	Active
WSP	[[Collection WSP|WSP]]	Automatically matched with IH	Washington State University	Pullman, Washington, U.S.A.	Active
WTO	[[Collection WTO|WTO]]	WTU? Suggestion added in text			
WTR	[[Collection WTR|WTR]]	Automatically matched with IH	Winchester College	Winchester, England, U.K.	Active
